Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),Vm (cm^3/mol),rho (g/cm^3),nu  (Pa/s),signu (Pa/s),MgO (mol %),SiO2 (mol %),H2O (mol %),#Mg,#Si,#O,#H,Source
EnH60,4.42634,0.03317,2962.06481,0.44901,36.87442594,2.276188384,6.43E-04,1.43E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH25,5.24664,0.054469,2981.82913,0.19394,35.11211534,2.718492779,0.0019,2.16E-04,42.86,42.86,14.29,27,27,90,18,This Study
EnH50,5.72448,0.045007,2968.3431,0.32171,35.25841748,2.497191771,9.45E-04,2.12E-04,33.33,33.33,33.33,20,20,80,40,This Study
EnH25,5.75903,0.07761,1788.52888,0.42655,33.04669679,2.888398577,0.01135,0.0032,42.86,42.86,14.29,27,27,90,18,This Study
EnH50,5.87647,0.086311,1780.11513,0.59436,33.29961651,33.29961651,0.00751,0.00302,33.33,33.33,33.33,20,20,80,40,This Study
EnH60,6.72006,0.05693,2962.344,0.48234,34.70534206,2.418450158,6.39E-04,1.67E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH60,7.05902,0.08171,1776.34177,0.28,32.53625819,32.53625819,0.00355,0.0024,28.57,28.57,42.86,16,16,72,48,This Study
EnH25,8.40303,0.079663,2982.18798,0.61524,33.04669679,2.888398577,0.00156,3.92E-04,42.86,42.86,14.29,27,27,90,18,This Study
EnH50,8.50012,0.055007,2969.26865,0.67132,33.29961651,2.644085405,0.00141,3.52E-04,33.33,33.33,33.33,20,20,80,40,This Study
EnH50,8.78455,0.096122,1780.29549,0.23752,31.34081554,31.34081554,0.00859,0.00525,33.33,33.33,33.33,20,20,80,40,This Study
EnH25,9.44819,0.13275,1788.59787,0.13026,30.98127824,3.080958483,0.01613,0.01288,42.86,42.86,14.29,27,27,90,18,This Study
EnH60,9.97363,0.05903,2962.78904,0.45453,32.53625819,2.579680169,6.74E-04,2.77E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH60,10.7157,0.09966,1775.12585,0.3639,30.36717431,30.36717431,0.00496,0.00133,28.57,28.57,42.86,16,16,72,48,This Study
EnH50,12.10405,0.056666,2969.53507,0.20398,31.34081554,2.809340743,0.00144,3.36E-04,33.33,33.33,33.33,20,20,80,40,This Study
EnH50,12.50671,0.067751,1780.50418,0.42148,29.38201456,29.38201456,0.00928,0.00612,33.33,33.33,33.33,20,20,80,40,This Study
EnH25,12.51977,0.086702,2981.80363,0.2697,30.98127824,3.080958483,0.00204,7.00E-04,42.86,42.86,14.29,27,27,90,18,This Study
EnH25,13.50164,0.128329,1788.82829,0.25461,28.91585969,3.301026946,0.03546,0.01813,42.86,42.86,14.29,27,27,90,18,This Study
EnH60,14.30389,0.06291,2962.80268,0.66644,30.36717431,2.763943038,0.00102,2.09E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH60,15.38519,0.11771,1776.60855,0.50549,28.19809043,28.19809043,0.00692,0.0018,28.57,28.57,42.86,16,16,72,48,This Study
EnH50,16.76469,0.069437,2969.18658,0.14127,29.38201456,2.996630126,0.00147,3.98E-04,33.33,33.33,33.33,20,20,80,40,This Study
EnH50,17.35494,0.102528,1780.79142,0.34422,27.42321359,27.42321359,0.01831,0.00924,33.33,33.33,33.33,20,20,80,40,This Study
EnH25,18.29621,0.083416,2981.7977,0.55234,28.91585969,3.301026946,0.00276,7.31E-04,42.86,42.86,14.29,27,27,90,18,This Study
EnH60,20.54701,0.07201,2963.13957,0.20138,28.19809043,2.976554041,0.00142,6.61E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH25,20.5942,0.102416,1788.58223,0.30731,26.85044114,3.554952095,0.06094,0.02414,42.86,42.86,14.29,27,27,90,18,This Study
EnH60,21.9071,0.16005,1777.38967,0.26613,26.02900655,26.02900655,0.0166,0.00915,28.57,28.57,42.86,16,16,72,48,This Study
EnH50,23.42594,0.078962,2969.27857,0.50441,27.42321359,3.210675135,0.00287,9.18E-04,33.33,33.33,33.33,20,20,80,40,This Study
EnH50,25.07162,0.086678,1780.82071,0.36597,25.46441262,25.46441262,0.03575,0.01092,33.33,33.33,33.33,20,20,80,40,This Study
EnH25,25.95165,0.1250813,2981.53263,0.54592,26.85044114,3.554952095,0.00355,0.00106,42.86,42.86,14.29,27,27,90,18,This Study
EnH60,29.32472,0.10674,2963.25516,0.44248,26.02900655,3.224600211,0.0022,7.62E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH50,32.61645,0.117458,2969.23886,0.43931,25.46441262,3.457650145,0.00365,9.19E-04,33.33,33.33,33.33,20,20,80,40,This Study
Fo,160.62529,6.11E-02,3000,3.19E-01,19.635,5.374076903,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
