Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),rho (g/cm^3),sigrho (g/cm^3),nu  (Pa/s),signu (Pa/s),Va (A^3/atom),Vm (cm^3/mol),sigVm (cm^3/mol),#Mg,#Si,#O,#H,H2O (mol %),MgO (mol %),SiO2 (mol %),apfu,Source
MSH40,6.5001,0.07724,1785.06988,0.23691,33.23165114,1.00E-10,0.00926,0.00601,9.546555014,33.23165114,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH40,6.65345,0.05313,2975.93089,0.50666,2.678688175,1.00E-10,0.0011,2.72E-04,10.07691918,35.07785398,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
FoH50,7.51248,0.07973,1783.72689,0.48389,33.3722226,1.00E-10,0.00815,0.00466,9.236195782,33.3722226,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
FoH50,7.5211,0.05431,2973.80632,0.40803,2.677783369,1.00E-10,0.00113,4.44E-04,9.779501416,35.33529452,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH60,7.81328,0.04801,2963.67886,0.44389,2.505129672,1.00E-10,6.73E-04,1.32E-04,8.987668408,34.4226981,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MS,8.16767,0.07908,2992.31093,0.23873,3.04080349,1.00E-10,0.00244,4.01E-04,10.96774082,33.47936922,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH60,8.65241,0.0893,1777.47606,0.40514,31.96393395,1.00E-10,0.00315,0.00101,8.345692093,31.96393395,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH70,9.36157,0.045973,2957.25285,0.55247,2.40902002,1.00E-10,4.99E-04,1.11E-04,8.256319957,33.61322284,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH40,9.66006,0.05282,2975.89198,0.68616,2.827504185,1.00E-10,0.00167,2.84E-04,9.546555014,33.23165114,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH40,9.91661,0.1048,1784.95831,0.25033,31.3854483,1.00E-10,0.00748,0.00601,9.016190847,31.3854483,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH70,10.68495,0.05796,1773.37107,0.32971,31.02759031,1.00E-10,0.00251,9.80E-04,7.621218422,31.02759031,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
FoH50,11.02371,0.071,2974.30083,0.58807,2.835300038,1.00E-10,0.00162,1.93E-04,9.236195782,33.3722226,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
FoH50,11.4699,0.07221,1783.68537,0.43038,31.40915068,1.00E-10,0.00903,0.00742,8.692890148,31.40915068,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH60,12.1732,0.059,2964.78265,0.51475,2.697831954,1.00E-10,9.15E-04,2.24E-04,8.345692093,31.96393395,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MS,12.56588,0.08628,2991.98196,0.31184,3.230853708,1.00E-10,0.00319,0.00149,10.32257959,31.50999456,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH40,13.60616,0.06914,2975.67145,0.54262,2.993827961,1.00E-10,0.00173,9.37E-04,9.016190847,31.3854483,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH60,13.9772,0.06924,1777.54131,0.24447,29.5051698,1.00E-10,0.00391,0.0016,7.703715778,29.5051698,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH70,14.11054,0.045712,2957.27957,0.30465,2.609771689,1.00E-10,7.87E-04,4.67E-04,7.621218422,31.02759031,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH40,14.23496,0.10613,1784.86952,0.33784,29.53924546,1.00E-10,0.01003,0.00802,8.485826679,29.53924546,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
FoH50,15.68531,0.06894,2974.35877,0.50416,3.01250629,1.00E-10,0.00108,3.94E-04,8.692890148,31.40915068,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
FoH50,16.48605,0.14712,1783.57218,0.16543,29.44607876,1.00E-10,0.01603,0.00496,8.149584514,29.44607876,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH70,16.52575,0.08567,1773.21652,0.24997,28.44195779,1.00E-10,0.0022,4.64E-04,6.986116887,28.44195779,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MS,18.05874,0.15006,2991.47681,0.26307,3.446243955,1.00E-10,0.00386,0.00168,9.677418367,29.5406199,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH60,18.24675,0.08225,2964.76904,0.18927,2.922651284,1.00E-10,0.00114,6.36E-04,7.703715778,29.5051698,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH40,18.73564,0.09137,2975.98528,0.41126,3.180942208,1.00E-10,0.00215,6.72E-04,8.485826679,29.53924546,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH40,20.01192,0.14967,1785.02696,0.14149,27.69304262,1.00E-10,0.03041,0.02661,7.955462512,27.69304262,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH60,20.76043,0.12569,1777.90545,0.47961,27.04640565,1.00E-10,0.00935,0.00295,7.061739463,27.04640565,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH70,21.13026,0.070226,2957.57474,0.43805,2.84702366,1.00E-10,8.55E-04,1.26E-04,6.986116887,28.44195779,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
FoH50,21.70696,0.08361,2973.95137,0.54515,3.213340043,1.00E-10,0.00184,9.50E-04,8.149584514,29.44607876,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
FoH50,23.38396,0.21371,1783.52243,0.16959,27.48300685,1.00E-10,0.02183,0.01521,7.606278879,27.48300685,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH70,24.93817,0.11285,1774.07145,0.18928,25.85632526,1.00E-10,0.00683,0.00501,6.351015351,25.85632526,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MS,25.18321,0.15982,2991.34128,0.3603,3.692404238,1.00E-10,0.00576,0.00265,9.032257143,27.57124524,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH40,25.35467,0.10493,2975.83804,0.37965,3.393005022,1.00E-10,0.00289,8.01E-04,7.955462512,27.69304262,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH60,27.20023,0.07551,2964.09403,0.4582,3.188346855,1.00E-10,0.00184,8.60E-04,7.061739463,27.04640565,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
FoH50,29.86971,0.11214,2973.72618,0.26087,3.442864332,1.00E-10,0.00344,0.00155,7.606278879,27.48300685,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH70,31.8833,0.072291,2957.92586,0.44717,3.131726026,1.00E-10,0.00152,3.29E-04,8.178369869,25.85632526,1.00E-10,17,12,71,60,50.85,28.81,20.34,5.25,This Study
MSH60,31.97746,0.15209,1778.26565,0.27278,24.5876415,1.00E-10,0.01585,0.01007,6.419763149,24.5876415,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
H2O,0.6,0.067797134,293,0.399410187,1.1755,9.44773E-11,NaN,NaN,8.485357555,15.32964696,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.8,0.067797134,293,0.399410187,1.2121,9.44773E-11,NaN,NaN,8.2291377,14.86676017,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1,0.067797134,293,0.399410187,1.243,9.44773E-11,NaN,NaN,8.024567824,14.49718423,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.6,0.067797134,373,0.399410187,1.1308,9.44773E-11,NaN,NaN,8.820779807,15.9356208,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.8,0.067797134,373,0.399410187,1.17,9.44773E-11,NaN,NaN,8.525245988,15.4017094,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1,0.067797134,373,0.399410187,1.2029,9.44773E-11,NaN,NaN,8.292075655,14.98046388,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.2,0.067797134,373,0.399410187,1.2317,9.44773E-11,NaN,NaN,8.098187713,14.63018592,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.4,0.067797134,373,0.399410187,1.2574,9.44773E-11,NaN,NaN,7.932668845,14.33115954,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.6,0.067797134,373,0.399410187,1.2807,9.44773E-11,NaN,NaN,7.788348408,14.07043023,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.8,0.067797134,373,0.399410187,1.3021,9.44773E-11,NaN,NaN,7.660346982,13.83918286,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2,0.067797134,373,0.399410187,1.322,9.44773E-11,NaN,NaN,7.545036162,13.63086233,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.2,0.067797134,373,0.399410187,1.3405,9.44773E-11,NaN,NaN,7.440908471,13.44274524,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.4,0.067797134,373,0.399410187,1.3579,9.44773E-11,NaN,NaN,7.345561386,13.2704912,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.6,0.067797134,423,0.399410187,1.1031,9.44773E-11,NaN,NaN,9.042278856,16.33578098,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.8,0.067797134,423,0.399410187,1.1438,9.44773E-11,NaN,NaN,8.720526146,15.75450254,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1,0.067797134,423,0.399410187,1.1781,9.44773E-11,NaN,NaN,8.466630851,15.2958153,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.2,0.067797134,423,0.399410187,1.2079,9.44773E-11,NaN,NaN,8.257751309,14.91845351,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.4,0.067797134,423,0.399410187,1.2345,9.44773E-11,NaN,NaN,8.079820013,14.59700284,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.6,0.067797134,423,0.399410187,1.2587,9.44773E-11,NaN,NaN,7.924475892,14.31635815,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.8,0.067797134,423,0.399410187,1.2808,9.44773E-11,NaN,NaN,7.787740323,14.06933167,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2,0.067797134,423,0.399410187,1.3014,9.44773E-11,NaN,NaN,7.664467347,13.84662671,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.2,0.067797134,423,0.399410187,1.3205,9.44773E-11,NaN,NaN,7.55360682,13.64634608,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.4,0.067797134,423,0.399410187,1.3385,9.44773E-11,NaN,NaN,7.452026751,13.46283153,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.6,0.067797134,423,0.399410187,1.3555,9.44773E-11,NaN,NaN,7.358567175,13.29398746,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.8,0.067797134,423,0.399410187,1.3717,9.44773E-11,NaN,NaN,7.2716613,13.13698331,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3,0.067797134,423,0.399410187,1.387,9.44773E-11,NaN,NaN,7.191447589,12.99206921,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.6,0.067797134,473,0.399410187,1.0756,9.44773E-11,NaN,NaN,9.273463933,16.75343994,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.8,0.067797134,473,0.399410187,1.1178,9.44773E-11,NaN,NaN,8.923365366,16.12095187,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1,0.067797134,473,0.399410187,1.1533,9.44773E-11,NaN,NaN,8.648693146,15.62472904,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.2,0.067797134,473,0.399410187,1.1842,9.44773E-11,NaN,NaN,8.423017907,15.21702415,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.4,0.067797134,473,0.399410187,1.2118,9.44773E-11,NaN,NaN,8.231174951,14.87044067,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.6,0.067797134,473,0.399410187,1.2367,9.44773E-11,NaN,NaN,8.065446596,14.57103582,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.8,0.067797134,473,0.399410187,1.2597,9.44773E-11,NaN,NaN,7.918185128,14.30499325,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2,0.067797134,473,0.399410187,1.2809,9.44773E-11,NaN,NaN,7.787132333,14.06823327,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.2,0.067797134,473,0.399410187,1.3007,9.44773E-11,NaN,NaN,7.668592147,13.85407857,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.4,0.067797134,473,0.399410187,1.3193,9.44773E-11,NaN,NaN,7.560477379,13.65875843,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.6,0.067797134,473,0.399410187,1.3369,9.44773E-11,NaN,NaN,7.460945326,13.47894383,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.8,0.067797134,473,0.399410187,1.3535,9.44773E-11,NaN,NaN,7.369440566,13.31363133,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3,0.067797134,473,0.399410187,1.3694,9.44773E-11,NaN,NaN,7.283874548,13.15904776,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.2,0.067797134,473,0.399410187,1.3845,9.44773E-11,NaN,NaN,7.204433229,13.01552907,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.4,0.067797134,473,0.399410187,1.399,9.44773E-11,NaN,NaN,7.129762549,12.88062902,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.6,0.067797134,473,0.399410187,1.4129,9.44773E-11,NaN,NaN,7.059620501,12.7539104,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.8,0.067797134,473,0.399410187,1.4262,9.44773E-11,NaN,NaN,6.993786149,12.63497406,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4,0.067797134,473,0.399410187,1.4391,9.44773E-11,NaN,NaN,6.931094299,12.52171496,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.6,0.067797134,573,0.399410187,1.0209,9.44773E-11,NaN,NaN,9.770337747,17.65109217,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.8,0.067797134,573,0.399410187,1.0663,9.44773E-11,NaN,NaN,9.354344749,16.89955922,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1,0.067797134,573,0.399410187,1.1043,9.44773E-11,NaN,NaN,9.032452962,16.31802952,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.2,0.067797134,573,0.399410187,1.1373,9.44773E-11,NaN,NaN,8.770366487,15.8445441,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.4,0.067797134,573,0.399410187,1.1667,9.44773E-11,NaN,NaN,8.549359566,15.44527299,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.6,0.067797134,573,0.399410187,1.1934,9.44773E-11,NaN,NaN,8.358084302,15.0997151,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.8,0.067797134,573,0.399410187,1.2178,9.44773E-11,NaN,NaN,8.190620632,14.79717523,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2,0.067797134,573,0.399410187,1.2404,9.44773E-11,NaN,NaN,8.041388105,14.52757175,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.2,0.067797134,573,0.399410187,1.2615,9.44773E-11,NaN,NaN,7.906886885,14.28458185,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.4,0.067797134,573,0.399410187,1.2813,9.44773E-11,NaN,NaN,7.784701324,14.06384141,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.6,0.067797134,573,0.399410187,1.3,9.44773E-11,NaN,NaN,7.672721389,13.86153846,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.8,0.067797134,573,0.399410187,1.3177,9.44773E-11,NaN,NaN,7.56965759,13.6753434,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3,0.067797134,573,0.399410187,1.3346,9.44773E-11,NaN,NaN,7.473803241,13.50217294,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.2,0.067797134,573,0.399410187,1.3507,9.44773E-11,NaN,NaN,7.38471741,13.34123047,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.4,0.067797134,573,0.399410187,1.3661,9.44773E-11,NaN,NaN,7.301469736,13.19083522,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.6,0.067797134,573,0.399410187,1.3809,9.44773E-11,NaN,NaN,7.223215154,13.0494605,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.8,0.067797134,573,0.399410187,1.3951,9.44773E-11,NaN,NaN,7.14969379,12.9166368,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4,0.067797134,573,0.399410187,1.4089,9.44773E-11,NaN,NaN,7.07966343,12.79011995,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.2,0.067797134,573,0.399410187,1.4221,9.44773E-11,NaN,NaN,7.013949656,12.67140145,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.4,0.067797134,573,0.399410187,1.4349,9.44773E-11,NaN,NaN,6.951381843,12.55836644,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.6,0.067797134,573,0.399410187,1.4473,9.44773E-11,NaN,NaN,6.891824643,12.4507704,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.8,0.067797134,573,0.399410187,1.4593,9.44773E-11,NaN,NaN,6.835152337,12.34838621,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5,0.067797134,573,0.399410187,1.471,9.44773E-11,NaN,NaN,6.780787088,12.25016995,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.2,0.067797134,573,0.399410187,1.4823,9.44773E-11,NaN,NaN,6.729095194,12.15678338,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.4,0.067797134,573,0.399410187,1.4934,9.44773E-11,NaN,NaN,6.679079822,12.06642561,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.6,0.067797134,573,0.399410187,1.5041,9.44773E-11,NaN,NaN,6.631565591,11.9805864,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.8,0.067797134,573,0.399410187,1.5146,9.44773E-11,NaN,NaN,6.585592107,11.8975307,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,6,0.067797134,573,0.399410187,1.5248,9.44773E-11,NaN,NaN,6.541538435,11.81794334,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,6.2,0.067797134,573,0.399410187,1.5347,9.44773E-11,NaN,NaN,6.499340461,11.74170848,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,6.4,0.067797134,573,0.399410187,1.5445,9.44773E-11,NaN,NaN,6.458101525,11.66720622,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,6.6,0.067797134,573,0.399410187,1.554,9.44773E-11,NaN,NaN,6.418621497,11.5958816,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,6.8,0.067797134,573,0.399410187,1.5663,9.44773E-11,NaN,NaN,6.368216693,11.50482028,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,7,0.067797134,573,0.399410187,1.5724,9.44773E-11,NaN,NaN,6.343511706,11.46018825,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.6,0.067797134,673,0.399410187,0.9668,9.44773E-11,NaN,NaN,10.31706434,18.63880844,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,0.8,0.067797134,673,0.399410187,1.0153,9.44773E-11,NaN,NaN,9.824227131,17.74844873,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1,0.067797134,673,0.399410187,1.0559,9.44773E-11,NaN,NaN,9.446479596,17.06601004,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.2,0.067797134,673,0.399410187,1.091,9.44773E-11,NaN,NaN,9.142564442,16.51695692,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.4,0.067797134,673,0.399410187,1.1223,9.44773E-11,NaN,NaN,8.887586034,16.05631293,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.6,0.067797134,673,0.399410187,1.1505,9.44773E-11,NaN,NaN,8.669741683,15.66275532,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,1.8,0.067797134,673,0.399410187,1.1765,9.44773E-11,NaN,NaN,8.478145181,15.31661708,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2,0.067797134,673,0.399410187,1.2004,9.44773E-11,NaN,NaN,8.309345057,15.01166278,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.2,0.067797134,673,0.399410187,1.2228,9.44773E-11,NaN,NaN,8.15712938,14.73666994,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.4,0.067797134,673,0.399410187,1.2438,9.44773E-11,NaN,NaN,8.019406501,14.48785978,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.6,0.067797134,673,0.399410187,1.2637,9.44773E-11,NaN,NaN,7.893121632,14.25971354,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,2.8,0.067797134,673,0.399410187,1.2825,9.44773E-11,NaN,NaN,7.777417392,14.05068226,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3,0.067797134,673,0.399410187,1.3004,9.44773E-11,NaN,NaN,7.670361278,13.85727468,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.2,0.067797134,673,0.399410187,1.3175,9.44773E-11,NaN,NaN,7.570806684,13.67741935,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.4,0.067797134,673,0.399410187,1.3339,9.44773E-11,NaN,NaN,7.477725321,13.50925857,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.6,0.067797134,673,0.399410187,1.3496,9.44773E-11,NaN,NaN,7.390736371,13.35210433,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,3.8,0.067797134,673,0.399410187,1.3647,9.44773E-11,NaN,NaN,7.308960069,13.20436726,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4,0.067797134,673,0.399410187,1.3793,9.44773E-11,NaN,NaN,7.231594146,13.06459798,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.2,0.067797134,673,0.399410187,1.3933,9.44773E-11,NaN,NaN,7.158930457,12.93332376,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.4,0.067797134,673,0.399410187,1.4069,9.44773E-11,NaN,NaN,7.089727632,12.80830194,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.6,0.067797134,673,0.399410187,1.4201,9.44773E-11,NaN,NaN,7.023827763,12.68924724,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,4.8,0.067797134,673,0.399410187,1.4329,9.44773E-11,NaN,NaN,6.961084378,12.57589504,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5,0.067797134,673,0.399410187,1.4453,9.44773E-11,NaN,NaN,6.901361521,12.46799972,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.2,0.067797134,673,0.399410187,1.4574,9.44773E-11,NaN,NaN,6.844063267,12.3644847,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.4,0.067797134,673,0.399410187,1.4692,9.44773E-11,NaN,NaN,6.789094613,12.26517833,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.6,0.067797134,673,0.399410187,1.4806,9.44773E-11,NaN,NaN,6.736821428,12.17074159,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
H2O,5.8,0.067797134,673,0.399410187,1.4918,9.44773E-11,NaN,NaN,6.686243334,12.07936721,1E-10,NaN,NaN,NaN,NaN,100,0,0,3,Mantegazzi et al. (2013)
