Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),rho (g/cm^3),sigrho (g/cm^3),nu  (Pa/s),signu (Pa/s),Va (A^3/atom),Vm (cm^3/mol),sigVm (cm^3/mol),#Mg,#Si,#O,#H,H2O (mol %),MgO (mol %),SiO2 (mol %),apfu,Source
En,155.10535,0.0610558,6000,0.319056,5.161439589,1.00E-10,NaN,NaN,6.459647957,19.45,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
EnH50,0.44575,0.034837,1779.30093,0.39732,39.17601942,1.00E-10,0.00569,0.0028,10.84247189,39.17601942,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,0.92756,0.03445,1775.1742,0.494,39.04350982,1.00E-10,8.91E-04,5.84E-04,10.23707192,39.04350982,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,1.045,0.072878,1788.04245,0.43646,2.567465402,1.00E-10,0.00981,0.00646,11.43262786,37.17753389,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH25,1.12216,0.045164,2981.71832,0.4898,2.432335644,1.00E-10,0.00145,7.26E-04,12.06777385,39.24295244,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,1.79377,0.039975,1780.02742,0.57745,37.21721845,1.00E-10,0.00649,0.00168,10.30034829,37.21721845,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,2.04117,0.043956,2968.2802,0.53751,2.247472594,1.00E-10,5.81E-04,9.89E-05,10.84247189,39.17601942,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,2.34624,0.04785,1775.80213,0.53744,36.87442594,1.00E-10,0.00202,6.23E-04,9.6683457,36.87442594,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,2.7378,0.0406,2962.13712,0.54191,2.149733474,1.00E-10,4.99E-04,1.94E-04,10.23707192,39.04350982,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,2.98628,0.057011,2981.83934,0.64269,2.567465402,1.00E-10,0.00162,7.24E-04,11.43262786,37.17753389,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH25,3.22079,0.066735,1788.91123,0.98235,2.718492779,1.00E-10,0.01296,0.01,10.79748187,35.11211534,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,3.65636,0.045282,2968.71452,0.58778,2.365760626,1.00E-10,0.00102,1.94E-04,10.30034829,37.21721845,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,3.65823,0.042574,1780.21554,0.65013,35.25841748,1.00E-10,0.00519,0.0023,9.758224698,35.25841748,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,4.36866,0.05746,1775.9203,0.87678,34.70534206,1.00E-10,0.00234,3.64E-04,9.099619482,34.70534206,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,4.42634,0.03317,2962.06481,0.44901,2.276188384,1.00E-10,6.43E-04,1.43E-04,9.6683457,36.87442594,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,5.24664,0.054469,2981.82913,0.19394,2.718492779,1.00E-10,0.0019,2.16E-04,10.79748187,35.11211534,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,5.72448,0.045007,2968.3431,0.32171,2.497191771,1.00E-10,9.45E-04,2.12E-04,9.758224698,35.25841748,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,5.75903,0.07761,1788.52888,0.42655,2.888398577,1.00E-10,0.01135,0.0032,10.16233588,33.04669679,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,5.87647,0.086311,1780.11513,0.59436,33.29961651,1.00E-10,0.00751,0.00302,9.216101103,33.29961651,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,6.72006,0.05693,2962.344,0.48234,2.418450158,1.00E-10,6.39E-04,1.67E-04,9.099619482,34.70534206,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,7.05902,0.08171,1776.34177,0.28,32.53625819,1.00E-10,0.00355,0.0024,8.530893265,32.53625819,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,8.40303,0.079663,2982.18798,0.61524,2.888398577,1.00E-10,0.00156,3.92E-04,10.16233588,33.04669679,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,8.50012,0.055007,2969.26865,0.67132,2.644085405,1.00E-10,0.00141,3.52E-04,9.216101103,33.29961651,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,8.78455,0.096122,1780.29549,0.23752,31.34081554,1.00E-10,0.00859,0.00525,8.673977509,31.34081554,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,9.44819,0.13275,1788.59787,0.13026,3.080958483,1.00E-10,0.01613,0.01288,9.527189884,30.98127824,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
